codigo_ibge_origin,latitude_origin,longitude_origin,codigo_uf_origin,codigo_ibge_destination,latitude_destination,longitude_destination,codigo_uf_destination
3156809,-186.653,-430.752,31,2708105,-917.141,-362.176,27
2311900,-65.346,-399.017,23,3158953,-193.661,-425.446,31
3156908,-198.622,-474.508,31,2209351,-694.696,-415.178,22
4316428,-277.085,-531.351,43,3159001,-191.662,-43.722,31
3544707,-218.823,-509.594,35,2806404,-102.922,-366.105,28
2612000,-832.864,-356.967,26,2411429,-676.643,-367.312,24
4316436,-283.941,-53.097,43,2513604,-738.162,-379.819,25
3544806,-213.427,-494.897,35,3159100,-207.868,-436.949,31
3544905,-207.696,-478.369,35,2928307,-120.311,-388.694,29
3545001,-235.288,-458.465,35,1506807,-243.849,-546.996,15
4215307,-269.798,-499.988,42,1506906,-93.097,-473.855,15
2513000,-710.098,-368.458,25,4317400,-291.897,-548.666,43
2612109,-79.269,-356.503,26,4215695,-266.388,-526.799,42
2806206,-110.288,-374.804,28,5107263,-144.945,-570.091,51
2513109,-735.337,-354.305,25,2928604,-125.472,-387.137,29
4122800,-261.777,-533.631,41,4215703,-276.852,-487.813,42
2612208,-807.373,-391.247,26,2806602,-107.892,-370.564,28
3157005,-161.753,-422.964,31,2110278,-250.068,-43.238,21
2927309,-12.873,-387.562,29,3547700,-219.747,-516.527,35
1506203,-630.815,-473.465,15,3547809,-236.737,-465.432,35
2311959,-728.398,-40.45,23,2513851,-722.016,-366.213,25
3545100,-216.267,-508.614,35,4317509,-283.001,-542.668,43
2612307,-89.723,-36.691,26,2411502,-631.195,-354.739,24
4215356,-266.049,-530.578,42,3547908,-210.864,-471.464,35
3545159,-228.442,-476.754,35,5219712,-175.585,-506.345,52
3545209,-231.996,-472.931,35,4317608,-298.268,-505.175,43
3157104,-160.063,-399.391,31,4124103,-232.959,-500.815,41
3545308,-236.474,-475.743,35,4317707,-28.514,-552.251,43
5107750,-151.303,-581.317,51,5219738,-164.815,-493.096,52
4122909,-236.074,-496.354,41,2928703,-129.614,-392.584,29
4316451,-290.951,-532.133,43,2209401,-698.676,-412.252,22
4123006,-257.813,-533.135,41,3304706,-21.541,-421.832,33
3545407,-228.894,-499.831,35,3548005,-226.029,-469.192,35
4215406,-26.903,-514.043,42,3159902,-20.943,-449.176,31
2927408,-129.718,-385.011,29,3548054,-209.331,-50.498,35
4316477,-281.233,-548.373,43,3160009,-217.606,-428.115,31
4316501,-294.386,-515.077,43,4124202,-227.351,-52.344,41
1506302,-758.444,-485.139,15,5219753,-159.412,-482.578,52
2109700,-713.447,-453.515,21,3160108,-203.185,-426.047,31
1718808,-535.423,-478.782,17,1303700,-309.544,-679.463,13
4316600,-27.947,-518.079,43,3160207,-184.609,-433.006,31
5219001,-16.197,-503.124,52,3160306,-165.332,-401.817,31
1718840,-12.538,-499.242,17,3548104,-221.121,-466.845,35
3545506,-224.551,-517.648,35,5107792,-14.805,-536.075,51
4215455,-286.326,-491.322,42,5107800,-158.632,-560.788,51
2612406,-836.097,-365.696,26,3160405,-20.085,-452.947,31
4317103,-308.773,-555.392,43,4317558,-284.956,-520.267,43
3545605,-212.427,-488.063,35,4124301,-234.969,-506.455,41
3545704,-200.311,-507.297,35,3548203,-22.827,-45.663,35
4123105,-232.654,-504.288,41,4317756,-28.403,-526.992,43
2927507,-119.515,-389.681,29,3160454,-153.393,-426.171,31
3157203,-199.604,-434.101,31,3160504,-192.374,-432.604,31
3545803,-227.553,-474.143,35,4124400,-260.737,-537.251,41
5219100,-165.714,-496.954,52,1507003,-11.522,-481.314,15
3157252,-199.753,-421.457,31,2110302,-486.613,-443.653,21
3157278,-219.592,-437.027,31,2209450,-604.647,-427.123,22
1506351,-119.219,-48.238,15,4317806,-278.526,-537.776,43
4316709,-283.653,-53.251,43,4317905,-278.263,-54.662,43
3157302,-212.431,-435.607,31,2928802,-12.428,-392.505,29
3546009,-233.933,-458.875,35,3548302,-218.467,-513.929,35
2927606,-973.227,-381.209,29,4317954,-279.074,-516.434,43
5107248,-119.125,-552.263,51,3160603,-182.968,-442.229,31
4215505,-269.592,-504.252,42,4124509,-226.957,-517.969,41
2513158,-77.389,-358.764,25,2209500,-742.072,-419.063,22
4123204,-235.201,-507.835,41,3548401,-216.376,-505.044,35
4316733,-281.609,-519.279,43,3548500,-239.535,-46.335,35
3546108,-20.09,-509.491,35,3160702,-214.634,-435.499,31
4316758,-294.747,-520.843,43,2312304,-404.713,-408.596,23
2411205,-622.475,-360.193,24,2110401,-333.515,-435.287,21
2513208,-65.237,-380.617,25,2612901,-88.166,-359.453,26
2612455,-824.153,-403.434,26,2513927,-688.596,-377.243,25
2927705,-162.825,-390.295,29,2513901,-648.529,-374.488,25
2612471,-781.339,-381.476,26,2110500,-269.781,-448.289,21
3546207,-221.405,-474.512,35,3160801,-215.839,-450.699,31
3546256,-212.951,-474.304,35,2411601,-509.259,-359.587,24
